"Year","Month","Day","Precipitation","TempAirMax","TempAirMin"
1980,3,23,0,16,3
1980,3,24,0,18,5
1980,3,25,0,19.5,2.5
1980,3,26,0,20,2.5
1980,3,27,0,14,0.5
1980,3,28,0,15.5,1
1980,3,29,0,17.5,2
1980,3,30,0,17,8.5
1980,3,31,0,18,-0.5
1980,4,1,0,22,1.5
1980,4,2,0,18.5,1
1980,4,3,0,21,5.5
1980,4,4,0,26.5,7
1980,4,5,0,25.5,7
1980,4,6,0,24.5,8
1980,4,7,0,25,7
1980,4,8,0,25.5,7
1980,4,9,0,28.5,10
1980,4,10,0,29,9
1980,4,11,0,26,4
1980,4,12,0,9,-2
1980,4,13,0,14,-2
1980,4,14,0,23,10
1980,4,15,0,28,10
1980,4,16,0,28.5,11
1980,4,17,0,28,10
1980,4,18,0,29.5,11
1980,4,19,0,31,16.5
1980,4,20,0.254,30,16
1980,4,21,0,28,11
1980,4,22,0,27,6
1980,4,23,0,21,3
1980,4,24,0,15,8
1980,4,25,0,24,6.5
1980,4,26,0,25,12
1980,4,27,0,29,12
1980,4,28,0,30,15
1980,4,29,0,25,8
1980,4,30,0.254,20,4
1980,5,1,0.254,20,11
1980,5,2,0.254,25,11
1980,5,3,0,24,8
1980,5,4,0,27,11
1980,5,5,0,29,12
1980,5,6,0,28,15
1980,5,7,0,27,15
1980,5,8,0,29,13
1980,5,9,0,30,13
1980,5,10,0,28,14
1980,5,11,0,26,5
1980,5,12,0,26,8
1980,5,13,0,27.5,10
1980,5,14,0,27.5,10
1980,5,15,0,24,7
1980,5,16,0,26,11
1980,5,17,0,29,15
1980,5,18,0,30.5,12
1980,5,19,0,31,18
1980,5,20,0,34,14
1980,5,21,0,33,15
1980,5,22,0,31.5,11
1980,5,23,0,30,15
1980,5,24,0,28.5,2
1980,5,25,0,28.5,7
1980,5,26,0,30,16
1980,5,27,0,30,11
1980,5,28,0,31,8.5
1980,5,29,0,32,11
1980,5,30,0,33,13
1980,5,31,0,33.5,15
1980,6,1,0,32,10
1980,6,2,0,34,12
1980,6,3,0,35,16
1980,6,4,0,36,16.5
1980,6,5,0,37,16
1980,6,6,0,37,12
1980,6,7,0,38,19
1980,6,8,0,39,21
1980,6,9,8.382,35,16
1980,6,10,0,38,18
1980,6,11,0,37.5,17
1980,6,12,0,33,20
1980,6,13,0,39,21
1980,6,14,0,39.5,18
1980,6,15,0,40,19
1980,6,16,0,40,22
1980,6,17,0,40,22.5
1980,6,18,0,38,22
1980,6,19,0,37,22
1980,6,20,2.54,36,20
1980,6,21,0,36,19
1980,6,22,0,38,21
1980,6,23,0,40,20
1980,6,24,0,39,22.5
1980,6,25,0,39,21.5
1980,6,26,0,41,22
1980,6,27,0,40,23
1980,6,28,0,41,23
1980,6,29,0,40,22
1980,6,30,0,36,18
1980,7,1,0,32.5,22
1980,7,2,0,35.5,22.5
1980,7,3,0,38,21.5
1980,7,4,0,39,22
1980,7,5,0,39,23
1980,7,6,1.016,38,19
1980,7,7,0,33,20
1980,7,8,0,35,21.5
1980,7,9,8.89,36,19
1980,7,10,0,36,19.5
1980,7,11,1.016,32.5,19
1980,7,12,41.91,31.5,18
1980,7,13,1.016,28,19
1980,7,14,0,32,20.5
1980,7,15,0,35.5,21.5
1980,7,16,0,38,21.5
1980,7,17,0,39,23
1980,7,18,2.032,39,21
1980,7,19,0,37,21
1980,7,20,0,36,21
1980,7,21,0,35.5,20
1980,7,22,1.27,34,20
1980,7,23,1.27,35,19
1980,7,24,0,35.5,21
1980,7,25,1.778,37,21
1980,7,26,0,38,23.5
1980,7,27,0,38.5,23
1980,7,28,0.508,35,23.5
1980,7,29,0,35,19
1980,7,30,0,37,22.5
1980,7,31,0,39,21
1980,8,1,0,38,23
1980,8,2,9.398,36,18.5
1980,8,3,8.128,33,18
1980,8,4,0,30,18
1980,8,5,5.334,32,20
1980,8,6,0,35,20.5
1980,8,7,2.794,36,18
1980,8,8,0,35.5,20
1980,8,9,0,35,19.5
1980,8,10,0,34,20
1980,8,11,0,35,19
1980,8,12,8.636,24,19.5
1980,8,13,0,27.5,18
1980,8,14,0,28,17
1980,8,15,0,32,16.5
1980,8,16,0,32,20
1980,8,17,0,35,21
1980,8,18,0,34,20
1980,8,19,0,27,16
1980,8,20,0,31,16.5
1980,8,21,0,35,21
1980,8,22,0,32,17.5
1980,8,23,7.112,30,17
1980,8,24,12.7,26,15
1980,8,25,0,29.5,17.5
1980,8,26,0,28,17
1980,8,27,0,31,18
1980,8,28,0,34,20
1980,8,29,0,33,19
1980,8,30,0,34,19
1980,8,31,0,34,19
1980,9,1,0,33,19
1980,9,2,0,34,17
1980,9,3,0,29,19
1980,9,4,13.462,30,16
1980,9,5,0,29,16
1980,9,6,0,29,15.5
1980,9,7,0,29,17
1980,9,8,0,30,19
1980,9,9,5.588,31,18
1980,9,10,0,29,17
1980,9,11,0,31,17
1980,9,12,0,30,17
1980,9,13,0,29.5,13
1980,9,14,0,30,15
1980,9,15,0,32,16
1980,9,16,0,33.5,16
1980,9,17,0,34,19
1980,9,18,0,36,17.5
1980,9,19,0,35,18
1980,9,20,0,34,16
1980,9,21,0,35,15
1980,9,22,0,33,16
1980,9,23,0,29,15
1980,9,24,30.734,28,15
1980,9,25,8.89,27,15
1980,9,26,0,21,17
1980,9,27,0,25,14
1980,9,28,0,29,16
1980,9,29,0,31,17
1980,9,30,0,32,17
1980,10,1,0,34,16
1980,10,2,0,32.5,14
1980,10,3,0,32,19
1980,10,4,0,34,16.5
1980,10,5,0,34,16
1980,10,6,0,30,13
1980,10,7,0,28,14
1980,10,8,0,29,15
1980,10,9,0,29,15
1980,10,10,0,29,13
1980,10,11,0,26,11.5
1980,10,12,0,26,14
1980,10,13,0.508,25,13
1980,10,14,0,24.5,14
1980,10,15,1.27,21,2
1980,10,16,0,13,1.5
1980,10,17,0,19,5
1980,10,18,0,21.5,8
1980,10,19,0,17,5
1980,10,20,0,17.5,4
1980,10,21,0,20.5,8
1980,10,22,0,23.5,9
1980,10,23,0,24,9
1980,10,24,0,23,7
1980,10,25,0,26,11.5
1980,10,26,0,22,9
1980,10,27,0,20,3
1980,10,28,0,11,-2
1980,10,29,0,13,0
1980,10,30,0,13,-2
1980,10,31,0,21.5,9
1980,11,1,0,23,9
1980,11,2,0,25,9
1980,11,3,0,27,9
1980,11,4,0,26,8
1980,11,5,0,26,7.5
1980,11,6,0,28,10
1980,11,7,0,28,9
1980,11,8,0,27,9.5
1980,11,9,0,28,10
1980,11,10,0,27,12.5
1980,11,11,0,25.5,9.5
1980,11,12,0,24,8
1980,11,13,0,20,4.5
1980,11,14,0,20,6
1980,11,15,0,14,0
1980,11,16,14.478,3,-2.5
1980,11,17,0,3,-4
1980,11,18,0,13,NA
1980,11,19,0,NA,NA
1980,11,20,0,13,3.5
1980,11,21,0,6.5,-2
1980,11,22,0,11,0
1980,11,23,0,17,4
1980,11,24,0,18,-0.5
1980,11,25,0,8.5,-5.5
1980,11,26,0,11,-2
1980,11,27,0,9,-1
1980,11,28,0,18,3
1980,11,29,0,22,4.5
1980,11,30,0,21,5
1980,12,1,0,21,5
1980,12,2,0,21,5
1980,12,3,0,22,7
1980,12,4,0,23,7
1980,12,5,0,21,6
1980,12,6,0,20,7
1980,12,7,0,14.5,0
1980,12,8,0,11,-3
1980,12,9,0,12,-3
1980,12,10,0,12,-4
1980,12,11,0,15.5,3
1980,12,12,2.286,13,2
1980,12,13,0,16,5
1980,12,14,0,16,0.5
1980,12,15,0,18,3
1980,12,16,0,21,3.5
1980,12,17,0,22,7
1980,12,18,0,23.5,7
1980,12,19,0,13,-1
1980,12,20,0,9,-3
1980,12,21,0,13,-3
1980,12,22,0,21,3
1980,12,23,0,20,4
1980,12,24,0,19,1
1980,12,25,0,19,3
1980,12,26,0,22.5,5
1980,12,27,0,22.5,6
1980,12,28,0,24,8
1980,12,29,0,17,0
1980,12,30,0,16,1.5
1980,12,31,0,17,4
1981,1,1,0,19,2.5
1981,1,2,0,17,4
1981,1,3,0,19.5,4.5
1981,1,4,0,19,3
1981,1,5,0,19,6
1981,1,6,0,16,5
1981,1,7,6.096,11,6
1981,1,8,0.254,10.5,2
1981,1,9,0,15,3
1981,1,10,0,11,7
1981,1,11,2.032,9,3.5
1981,1,12,12.192,4,4
1981,1,13,0,9,4
1981,1,14,0.508,14,0
1981,1,15,0,13.5,4
1981,1,16,6.35,9,-1
1981,1,17,1.27,0,-4.5
1981,1,18,1.524,10.5,NA
1981,1,19,0,NA,NA
1981,1,20,0,14,-1
1981,1,21,0,11.5,-1
1981,1,22,0,15,-0.5
1981,1,23,0,17,3.5
1981,1,24,0,18.5,3.5
1981,1,25,0,16,3
1981,1,26,0,16,-1
1981,1,27,0,16,3
1981,1,28,0,18.5,0
1981,1,29,0,15.5,2.5
1981,1,30,0,19.5,3
1981,1,31,0,9.5,-6
1981,2,1,0,13,-3.5
1981,2,2,0,14,-1
1981,2,3,0,15,0
1981,2,4,0,17,-1
1981,2,5,0,17,1
1981,2,6,0,16.5,0
1981,2,7,0,18,0
1981,2,8,0,18,6.5
1981,2,9,7.62,11,6.5
1981,2,10,0,14,1.5
1981,2,11,0,16,2
1981,2,12,0,19,2.5
1981,2,13,0,19,2.5
1981,2,14,0,22,5
1981,2,15,0,22,5
1981,2,16,0,24,3
1981,2,17,0,25,8
1981,2,18,0,24.5,9.5
1981,2,19,0,26,9
1981,2,20,0,26,7.5
1981,2,21,0,17,0
1981,2,22,0,20,2.5
1981,2,23,0,23,7
1981,2,24,0,24,6
1981,2,25,0,22,7.5
1981,2,26,0,17,7
1981,2,27,3.048,11,5
1981,2,28,0,17.5,3
1981,3,1,0,18,6.5
1981,3,2,15.24,14.5,1
1981,3,3,0,10.5,3.5
1981,3,4,5.08,12,3
1981,3,5,4.826,15,0.5
1981,3,6,0,NA,NA
1981,3,7,0,NA,NA
1981,3,8,0,15,3
1981,3,9,0,17.5,4
1981,3,10,1.27,14.5,2.5
1981,3,11,0,15.5,5
1981,3,12,1.016,17.5,2
1981,3,13,0,18,8.5
1981,3,14,0,17,1.5
1981,3,15,0,17,5
1981,3,16,0,21,4
1981,3,17,0,20,6
1981,3,18,0,22,7
1981,3,19,6.604,25,16
1981,3,20,0,19,6.5
1981,3,21,0,16,2.5
1981,3,22,0,20,6
1981,3,23,0,24.5,8.5
1981,3,24,0,23,7
1981,3,25,0,24,9
1981,3,26,0,20,13
1981,3,27,0,26,0
1981,3,28,0,14,8
1981,3,29,0,19,4
1981,3,30,0,24,6
1981,3,31,0,23,1.5
1981,4,1,0,26,12
1981,4,2,0,22,4
1981,4,3,7.62,14,0
1981,4,4,0,19,4.5
1981,4,5,0,23,8
1981,4,6,0,29,12
1981,4,7,0,28,9
1981,4,8,0,27,8
1981,4,9,0,27,11
1981,4,10,0,28.5,12
1981,4,11,0,29,13
1981,4,12,0,25,9.5
1981,4,13,0,29,12
1981,4,14,0,31,10
1981,4,15,0,21,9.5
1981,4,16,0,26.5,12.5
1981,4,17,0,23,13
1981,4,18,0,26.5,8.5
1981,4,19,0,26,7.5
1981,4,20,0,26,9
1981,4,21,0,25,10
1981,4,22,0,24,9
1981,4,23,2.794,18.5,7
1981,4,24,0,26,11
1981,4,25,0,31,15
1981,4,26,0,30.5,12
1981,4,27,0,28.5,11.5
1981,4,28,0,30,13
1981,4,29,0,31.5,14.5
1981,4,30,0,32,13
1981,5,1,0,29,10
1981,5,2,0,26,12.5
1981,5,3,0,28.5,11
1981,5,4,0,29,13
1981,5,5,0,29,9.5
1981,5,6,0,30,11
1981,5,7,0,29.5,13.5
1981,5,8,0,28,13
1981,5,9,0,27,10.5
1981,5,10,0,30.5,12.5
1981,5,11,0,31.5,16
1981,5,12,0,31,11.5
1981,5,13,0,31,16
1981,5,14,0,31,18
1981,5,15,0,29,13
1981,5,16,0,32.5,11
1981,5,17,0,NA,NA
1981,5,18,0,NA,NA
1981,5,19,0,NA,NA
1981,5,20,0,31,10
1981,5,21,0,29,11
1981,5,22,0,29.5,14
1981,5,23,0,28.5,12.5
1981,5,24,0,31.5,NA
1981,5,25,0,NA,NA
1981,5,26,0,NA,NA
1981,5,27,0,NA,NA
1981,5,28,0,NA,NA
1981,5,29,0,NA,NA
1981,5,30,0,NA,NA
1981,5,31,3.048,NA,NA
1981,6,1,0,NA,NA
1981,6,2,0,NA,NA
1981,6,3,0,NA,NA
1981,6,4,0,NA,NA
1981,6,5,0,NA,NA
1981,6,6,0,NA,NA
1981,6,7,0,40,15.6
1981,6,8,0,40.6,14.4
1981,6,9,0,40,14.4
1981,6,10,0,40,12.8
1981,6,11,0,40.6,13.9
1981,6,12,0,39.4,13.9
1981,6,13,0,36.7,12.2
1981,6,14,0,35.6,11.7
1981,6,15,0,30.6,8.3
1981,6,16,0,29.4,10
1981,6,17,0,34.4,13.9
1981,6,18,0,39.4,13.9
1981,6,19,0,41.1,13.9
1981,6,20,0,42.8,19.4
1981,6,21,0,42.8,17.2
1981,6,22,0,43.9,17.8
1981,6,23,0,42.8,19.4
1981,6,24,0,41.1,19.4
1981,6,25,0,38.3,14.4
1981,6,26,0,34.4,15
1981,6,27,34.036,33.9,11.7
1981,6,28,0,26.7,13.9
1981,6,29,0,32.8,10.6
1981,6,30,43.688,16.7,12.8
1981,7,1,0,29.4,12.2
1981,7,2,0,35,15
1981,7,3,0,36.7,18.3
1981,7,4,0,39.4,16.7
1981,7,5,0,37.8,16.1
1981,7,6,0.508,37.2,13.3
1981,7,7,0,33.9,14.4
1981,7,8,0,33.9,16.7
1981,7,9,0,31.1,15
1981,7,10,0.762,30.6,12.2
1981,7,11,0,32.2,14.4
1981,7,12,2.54,33.3,11.1
1981,7,13,17.018,31.1,11.7
1981,7,14,0,30,15
1981,7,15,0,31.7,13.3
1981,7,16,12.954,28.9,12.8
1981,7,17,0,26.1,11.1
1981,7,18,2.794,32.8,13.9
1981,7,19,0.254,34.4,13.9
1981,7,20,0,33.9,15
1981,7,21,0,37.8,14.4
1981,7,22,0,36.1,16.7
1981,7,23,0,33.9,13.9
1981,7,24,0,33.9,13.3
1981,7,25,1.778,31.7,13.9
1981,7,26,0,33.9,13.9
1981,7,27,3.556,30,13.9
1981,7,28,2.54,31.1,12.2
1981,7,29,0.508,30.6,11.7
1981,7,30,25.908,25,12.2
1981,7,31,10.16,23.3,12.2
1981,8,1,0,27.2,12.8
1981,8,2,0,28.9,13.3
1981,8,3,0,31.7,16.7
1981,8,4,0,32.2,15
1981,8,5,3.048,32.2,15.6
1981,8,6,0,31.7,15.6
1981,8,7,0,26.1,12.8
1981,8,8,0,28.3,9.4
1981,8,9,0,30.6,13.9
1981,8,10,1.27,31.1,11.7
1981,8,11,1.27,25,8.3
1981,8,12,0,31.1,9.4
1981,8,13,0.254,33.9,13.9
1981,8,14,0,31.1,15.6
1981,8,15,0,33.9,15
1981,8,16,0,36.1,13.3
1981,8,17,0,34.4,13.9
1981,8,18,1.778,35,15
1981,8,19,4.826,34.4,12.2
1981,8,20,0,33.9,10.6
1981,8,21,0,35.6,13.3
1981,8,22,0,37.8,16.1
1981,8,23,0.508,40.6,16.7
1981,8,24,0,38.3,14.4
1981,8,25,0,38.3,17.2
1981,8,26,0,40,15
1981,8,27,0,38.3,12.8
1981,8,28,0,35,13.3
1981,8,29,0,36.7,17.2
1981,8,30,2.54,37.2,18.9
1981,8,31,0,33.9,13.9
1981,9,1,0,32.8,13.9
1981,9,2,0,32.8,13.9
1981,9,3,0,33.3,13.3
1981,9,4,0,30.6,12.2
1981,9,5,2.032,32.2,10.6
1981,9,6,0,32.8,12.8
1981,9,7,0,35.6,16.1
1981,9,8,0,20.6,10
1981,9,9,0,30.6,10.6
1981,9,10,0,33.9,13.3
1981,9,11,0,35,15.6
1981,9,12,0,36.7,17.8
1981,9,13,0,37.8,17.2
1981,9,14,0,35.6,15
1981,9,15,0,32.8,8.9
1981,9,16,49.276,29.4,9.4
1981,9,17,0,27.8,10
1981,9,18,0,27.8,8.9
1981,9,19,0,30,9.4
1981,9,20,0,33.3,11.7
1981,9,21,0,33.9,13.3
1981,9,22,0,23.3,12.8
1981,9,23,0,22.8,8.3
1981,9,24,0,30,12.8
1981,9,25,0,32.2,8.3
1981,9,26,0,32.8,12.8
1981,9,27,0,35.6,12.8
1981,9,28,4.826,33.3,10.6
1981,9,29,0,34.4,13.9
1981,9,30,0,32.8,10
1981,10,1,4.572,21.7,10.6
1981,10,2,11.176,NA,NA
1981,10,3,0,NA,NA
1981,10,4,0,26.7,5.6
1981,10,5,0,22.8,5.6
1981,10,6,0.254,21.7,5.6
1981,10,7,0,23.9,10.6
1981,10,8,0,27.2,3.3
1981,10,9,0,25.6,7.8
1981,10,10,0,30,17.2
1981,10,11,0,28.9,7.8
1981,10,12,0,32.2,9.4
1981,10,13,0,34.4,10
1981,10,14,0,30,13.9
1981,10,15,0,31.1,3.9
1981,10,16,0,27.2,3.9
1981,10,17,0,27.8,7.8
1981,10,18,9.144,31.1,16.7
1981,10,19,0,31.7,16.1
1981,10,20,0,30,13.9
1981,10,21,0,22.8,1.7
1981,10,22,0,30,NA
1981,10,23,0,NA,NA
1981,10,24,0,NA,NA
1981,10,25,0,NA,NA
1981,10,26,0,29.4,10
1981,10,27,0,31.7,11.1
1981,10,28,0,33.9,11.1
1981,10,29,0,32.2,1.7
1981,10,30,0,23.9,-1.7
1981,10,31,0,23.9,0
1981,11,1,0,25,0.6
1981,11,2,0,27.2,3.3
1981,11,3,0,30.6,7.2
1981,11,4,0,31.7,12.2
1981,11,5,0,31.1,10
1981,11,6,0,31.1,6.7
1981,11,7,1.016,23.3,1.1
1981,11,8,0,24.4,8.3
1981,11,9,0,22.2,0
1981,11,10,0,19,2
1981,11,11,0,23,4
1981,11,12,0,22.5,6.5
1981,11,13,0,25,8
1981,11,14,0,23,8.5
1981,11,15,0,25.5,7.5
1981,11,16,0,25.5,9.5
1981,11,17,0,25.5,6
1981,11,18,0,23,-2
1981,11,19,0,16,-1.5
1981,11,20,0,19,2.5
1981,11,21,0,21.5,6
1981,11,22,0,22,4
1981,11,23,0,24,5
1981,11,24,0,25.5,6.5
1981,11,25,0,21.5,0
1981,11,26,0,18,6.5
1981,11,27,0,9,6
1981,11,28,0,7,6
1981,11,29,0,13,-1.5
1981,11,30,0,8.5,-4.5
1981,12,1,0,9.5,-3.5
1981,12,2,0,15.5,-1.5
1981,12,3,0,17,3
1981,12,4,33.02,13.5,2
1981,12,5,0,15.5,0.5
1981,12,6,0,18,1.5
1981,12,7,0,20,2.5
1981,12,8,0,21,2
1981,12,9,0,20,0
1981,12,10,0,19,5
1981,12,11,0,19.5,7.5
1981,12,12,0.508,17.5,14.5
1981,12,13,0,15,-0.5
1981,12,14,0,14.5,-0.5
1981,12,15,0,18,1
1981,12,16,0,19,2
1981,12,17,0,17.5,-1
1981,12,18,0,16,1
1981,12,19,0,18,3.5
1981,12,20,0,22,2
1981,12,21,0,22,-0.5
1981,12,22,0,11,-1.5
1981,12,23,0,10.5,-4.5
1981,12,24,0,12,-2
1981,12,25,0,14.5,-3.5
1981,12,26,0,14.5,-1.5
1981,12,27,0,17,-1
1981,12,28,0,16,1
1981,12,29,0,18,1
1981,12,30,0,17.5,1.5
1981,12,31,0,12,0
1982,1,1,1.016,15,4
1982,1,2,0,12,-3
1982,1,3,3.556,4,-6
1982,1,4,0,9,-3
1982,1,5,0.508,14,2
1982,1,6,0,14,1
1982,1,7,0,16,1
1982,1,8,0,9.5,-1.5
1982,1,9,0,15,0
1982,1,10,0,15,0
1982,1,11,5.08,10,4
1982,1,12,6.35,11,-1.5
1982,1,13,0,7,-6
1982,1,14,0,10,-4.5
1982,1,15,0,15.5,-2
1982,1,16,0,16,0
1982,1,17,0,19,2
1982,1,18,0,18.5,9.5
1982,1,19,7.366,13,3.5
1982,1,20,0,15.5,7
1982,1,21,0,15,-1
1982,1,22,1.27,6.5,-6.5
1982,1,23,0,10,-2.5
1982,1,24,0,18.5,2.5
1982,1,25,0,23.5,1
1982,1,26,0,20.5,2
1982,1,27,0,19,1
1982,1,28,0,19,2
1982,1,29,0,4,-5.5
1982,1,30,0.508,12,-1
1982,1,31,0,14,-3
1982,2,1,0,11.5,-5.5
1982,2,2,0,10,-4.5
1982,2,3,0,13.5,-3.5
1982,2,4,0,15,-2
1982,2,5,0,11,-1
1982,2,6,0,14,0.5
1982,2,7,0,16.5,1
1982,2,8,0,10,-6
1982,2,9,0,13,3
1982,2,10,0.762,15,1
1982,2,11,4.064,13,-1.5
1982,2,12,0,12,-0.5
1982,2,13,0,16.5,2
1982,2,14,0,16.5,0
1982,2,15,0,18,2.5
1982,2,16,0,19,2
1982,2,17,0,18,8
1982,2,18,1.524,12,4.5
1982,2,19,0,18,5
1982,2,20,0,20.5,6
1982,2,21,0,23,7
1982,2,22,0,24,7.5
1982,2,23,0,24,8
1982,2,24,3.81,17,4
1982,2,25,0.508,9,2
1982,2,26,0,8.5,-2.5
1982,2,27,0,15,1
1982,2,28,0,20,5
1982,3,1,0,22,11
1982,3,2,0,19,8
1982,3,3,0,19,-1
1982,3,4,0,20,-0.5
1982,3,5,0,11,-4
1982,3,6,0,13,-1
1982,3,7,0,20,3.5
1982,3,8,0,24,4
1982,3,9,0,24,5
1982,3,10,0,25,9
1982,3,11,0,25,9
1982,3,12,0,18,6.5
1982,3,13,21.59,10.5,1
1982,3,14,0,13,4.5
1982,3,15,0,15,2
1982,3,16,0,19.5,3
1982,3,17,0,22,11
1982,3,18,0,21,-3.5
1982,3,19,0,16.5,-4
1982,3,20,0,14,-1.5
1982,3,21,0,17.5,3
1982,3,22,0,21,3
1982,3,23,0,21,3
1982,3,24,0,25,5
1982,3,25,0,24,8
1982,3,26,0,16,6
1982,3,27,0,17.5,5
1982,3,28,0,22,9
1982,3,29,0,16,-1
1982,3,30,0,20,2
1982,3,31,0,22,5
1982,4,1,0.762,26,6
1982,4,2,0,20,1
1982,4,3,0,23,3
1982,4,4,0,23,3
1982,4,5,0,24,11
1982,4,6,0,26,7
1982,4,7,3.81,NA,NA
1982,4,8,0,NA,NA
1982,4,9,0,NA,NA
1982,4,10,0,NA,NA
1982,4,11,0,NA,NA
1982,4,12,0,NA,NA
1982,4,13,0,NA,NA
1982,4,14,0,27.5,6
1982,4,15,0,26,10
1982,4,16,0,24,8
1982,4,17,0,27,9.5
1982,4,18,0,25.5,10
1982,4,19,0,26,9
1982,4,20,0,26,7
1982,4,21,0,20,7
1982,4,22,0,17.5,2
1982,4,23,0,17,4
1982,4,24,0,23,8
1982,4,25,0,25,7.5
1982,4,26,0,26,11
1982,4,27,0,28,12
1982,4,28,0,29,12
1982,4,29,0,21,9.5
1982,4,30,0,26,12
1982,5,1,8.636,23,10
1982,5,2,0,21,9
1982,5,3,1.016,27,11.5
1982,5,4,0,24,7
1982,5,5,0,18,6
1982,5,6,0,24,9
1982,5,7,0,27.5,11
1982,5,8,0,28,12
1982,5,9,0,26,8.5
1982,5,10,0,25,9
1982,5,11,0,25,9.5
1982,5,12,0,18.5,5
1982,5,13,0,22,9
1982,5,14,0,27,11
1982,5,15,0,29.5,11
1982,5,16,0,27.5,12.5
1982,5,17,0,30.5,14
1982,5,18,0,32,12
1982,5,19,0,30.5,14
1982,5,20,0,30.5,14.5
1982,5,21,0,32,16
1982,5,22,0,29,10
1982,5,23,0,30,15
1982,5,24,0,31,15
1982,5,25,0,31,14
1982,5,26,0,31,14
1982,5,27,1.016,22,8.5
1982,5,28,0,30,12
1982,5,29,0,32,13
1982,5,30,0,31,11
1982,5,31,0,33.5,13
1982,6,1,0,34,11.5
1982,6,2,0,32,12
1982,6,3,0,31,13.5
1982,6,4,0,34,13
1982,6,5,0,34,15
1982,6,6,0,32,14
1982,6,7,0,34,13
1982,6,8,0,33.5,14
1982,6,9,0,34,16
1982,6,10,0,35,16
1982,6,11,0,34,16
1982,6,12,0,34,17
1982,6,13,0,33.5,18
1982,6,14,0,33,16
1982,6,15,0,32,17
1982,6,16,0,34,19
1982,6,17,0,35.5,13.5
1982,6,18,0,32,16
1982,6,19,0,33,17
1982,6,20,0,35,14
1982,6,21,0,32.5,16
1982,6,22,0,34,15.5
1982,6,23,0,34,16
1982,6,24,0,35,17
1982,6,25,0,36,17
1982,6,26,0,37,19
1982,6,27,0,37,18
1982,6,28,0,37,22
1982,6,29,0,33,19
1982,6,30,4.318,32,14
1982,7,1,0,32,14
1982,7,2,0,33,17
1982,7,3,0,NA,NA
1982,7,4,0,31,16
1982,7,5,0,29,17
1982,7,6,13.716,26,13
1982,7,7,0,29,16
1982,7,8,0,32,18
1982,7,9,0,34,18
1982,7,10,0,35,19
1982,7,11,0,37.5,20
1982,7,12,0,36,20.5
1982,7,13,0,37.5,22
1982,7,14,0,37,23
1982,7,15,0,36,21
1982,7,16,3.048,24,17.5
1982,7,17,1.778,33.5,17
1982,7,18,0,33,20
1982,7,19,0,35,19
1982,7,20,2.54,36,18
1982,7,21,0,34.5,18
1982,7,22,0,35,17
1982,7,23,0,34.5,20
1982,7,24,6.858,32,16
1982,7,25,0,31.5,17
1982,7,26,4.572,30.5,16.5
1982,7,27,0.254,29,18
1982,7,28,0,31,20
1982,7,29,0.254,31,18
1982,7,30,0,29,17
1982,7,31,0,30,15
1982,8,1,1.27,31,19
1982,8,2,6.604,30,17
